name,meal_type,diet_type,calories,protein,fats,carbs,fiber,sugar,iron,sodium,cholesterol,recipe_link
Powerhouse Almond Matcha Superfood Smoothie,breakfast,"gluten free, dairy free",281.18,10.33,12.94,33.78,7.08,20.05,2.79,252.79,0.0,https://spoonacular.com/recipes/Powerhouse-Almond-Matcha-Superfood-Smoothie-756814
Butternut Squash Frittata,breakfast,gluten free,462.09,23.89,3.99,96.03,16.56,23.67,8.22,336.24,7.42,https://spoonacular.com/recipes/Butternut-Squash-Frittata-636589
Finger Foods: Frittata Muffins,breakfast,"gluten free, lacto ovo vegetarian, primal, ketogenic",654.73,49.45,44.88,12.9,3.51,5.84,5.64,964.99,1038.7,https://spoonacular.com/recipes/Finger-Foods:-Frittata-Muffins-716432
Doughnuts,breakfast,lacto ovo vegetarian,430.24,11.36,2.04,91.33,2.99,19.34,4.5,602.56,3.64,https://spoonacular.com/recipes/Doughnuts-716276
Peanut Butter and Jelly Smoothie,breakfast,"gluten free, dairy free, fodmap friendly",779.48,19.58,35.76,103.92,7.57,65.38,2.42,364.08,0.0,https://spoonacular.com/recipes/Peanut-Butter-and-Jelly-Smoothie-655235
Smoked Salmon Eggs Benedict With Lemon Dill Hollandaise,breakfast,pescatarian,539.84,41.02,32.72,20.98,3.89,3.63,5.69,1494.55,658.94,https://spoonacular.com/recipes/Smoked-Salmon-Eggs-Benedict-With-Lemon-Dill-Hollandaise-660368
Peanut Butter And Chocolate Oatmeal,breakfast,"gluten free, lacto ovo vegetarian",469.98,19.36,13.84,72.94,9.29,15.5,4.21,131.03,3.67,https://spoonacular.com/recipes/Peanut-Butter-And-Chocolate-Oatmeal-655219
Goldilocks Chia Seed Porridge,breakfast,"gluten free, dairy free, paleolithic, lacto ovo vegetarian, primal, vegan",386.62,13.11,26.07,27.82,18.16,4.98,5.84,76.62,0.0,https://spoonacular.com/recipes/Goldilocks-Chia-Seed-Porridge-645032
Crab Cakes Eggs Benedict,breakfast,pescatarian,899.19,42.16,58.89,41.53,2.93,2.69,3.52,2262.47,394.05,https://spoonacular.com/recipes/Crab-Cakes-Eggs-Benedict-640275
Peaches And Cream Oatmeal,breakfast,"gluten free, lacto ovo vegetarian",411.92,16.48,7.34,74.41,8.75,17.96,4.0,93.55,9.0,https://spoonacular.com/recipes/Peaches-And-Cream-Oatmeal-655186
